127.0.0.1 - - [25/Dec/2017:19:38:07 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:38:09 +0900] "GET /template/ HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:38:18 +0900] "POST /template/HomeAction.action;jsessionid=183F80EACAE8C2B5C6B212C4668FAEBF HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:38:25 +0900] "POST /template/HomeAction.action;jsessionid=183F80EACAE8C2B5C6B212C4668FAEBF HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:38:41 +0900] "POST /template/HomeAction.action;jsessionid=183F80EACAE8C2B5C6B212C4668FAEBF HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:38:45 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:38:46 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:39:05 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:40:49 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:41:06 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:41:15 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:41:33 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:41:34 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:42:08 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:42:09 +0900] "GET /template/UserCreateAction.action HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:35 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:37 +0900] "GET /template/UserCreateAction.action HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:41 +0900] "POST /template/UserCreateConfirmAction.action HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:42 +0900] "POST /template/UserCreateCompleteAction.action HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:43 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:46 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:49 +0900] "POST /template/BuyItemAction.action HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:51 +0900] "POST /template/BuyItemConfirmAction.action HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:52 +0900] "GET /template/MyPageAction.action HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:52:54 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [25/Dec/2017:20:30:05 +0900] "GET /template/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [25/Dec/2017:20:30:06 +0900] "POST /template/HomeAction.action;jsessionid=22E895FB2B9E93901C4FBEF8E72B1044 HTTP/1.1" 200 2155
